FY,Section,Page,Category,Units,Fixed_Charge,Energy_Charge,Wheeling_Charge,Raw_Row
2016-17,General,150,Income from OA Charges,,296.0,380.0,,Income from OA Charges | 296 | 380
2016-17,General,151,Deemed Revenue on account of change of category,,,102.0,,Deemed Revenue on account of change of category | 102
2016-17,General,152,Revenue from Sale of Power,,55259.0,55135.0,,"Revenue from Sale of Power | 55,259 | 55,135"
2016-17,General,152,Unknown,Apr-14,2.4,0.57,2.38,Apr-14 | 2.4 | 0.57 | 2.38
2016-17,General,152,May-14,,10.25,2.5,2.44,May-14 | 10.25 | 2.5 | 2.44
2016-17,General,152,Jun-14,,32.54,7.84,2.41,Jun-14 | 32.54 | 7.84 | 2.41
2016-17,General,158,Efficiency Loss to be borne by the consumers,,90.0,558.0,,Efficiency Loss to be borne by the consumers | 90 | 558
2016-17,General,158,Efficiency Loss to be retained by MSEDCL,,180.0,1115.0,,"Efficiency Loss to be retained by MSEDCL | 180 | 1,115"
2016-17,General,159,Operation & Maintenance Expenses,,4799.0,4138.0,,"Operation & Maintenance Expenses | 4,799 | 4,138"
2016-17,General,159,Depreciation,,1873.0,1458.0,,"Depreciation | 1,873 | 1,458"
2016-17,General,159,Interest on Loan Capital,,1360.0,1509.0,,"Interest on Loan Capital | 1,360 | 1,509"
2016-17,General,159,Interest on Working Capital& Interest on deposit from Consumers and Distribution System Users,,260.0,228.0,,Interest on Working Capital& Interest on deposit from Consumers and Distribution System Users | 260 | 228
2016-17,General,159,Other Finance Charges,,27.0,27.0,,Other Finance Charges | 27 | 27
2016-17,General,159,Provision for Bad and Doubtful Debts,,35.0,26.0,,Provision for Bad and Doubtful Debts | 35 | 26
2016-17,General,159,Total Revenue Expenditure,,8353.0,7386.0,,"Total Revenue Expenditure | 8,353 | 7,386"
2016-17,General,159,Add: Return on Equity Capital,,1286.0,1269.0,,"Add: Return on Equity Capital | 1,286 | 1,269"
2016-17,General,159,Aggregate Revenue Requirement,,9639.0,8654.0,,"Aggregate Revenue Requirement | 9,639 | 8,654"
2016-17,General,159,Less: Income from Wheeling Charges,,3.0,3.0,,Less: Income from Wheeling Charges | 3 | 3
2016-17,General,159,Less: Income from Open Access Charges,,380.0,380.0,,Less: Income from Open Access Charges | 380 | 380
2016-17,General,159,Aggregate Revenue Requirement from Distribution Wires,,9256.0,8271.0,,"Aggregate Revenue Requirement from Distribution Wires | 9,256 | 8,271"
2016-17,General,159,Power Purchase Expenses (incl. Inter-State Transmission Charges),,43614.0,43614.0,,"Power Purchase Expenses (incl. Inter-State Transmission Charges) | 43,614 | 43,614"
2016-17,General,159,Operation & Maintenance Expenses,,1359.0,1841.0,,"Operation & Maintenance Expenses | 1,359 | 1,841"
