FY,Section,Page,Category,Units,Fixed_Charge,Energy_Charge,Wheeling_Charge,Raw_Row
2018-19,HT_Industry,44,HT Industrial,250,620.0,475.0,475.0,HT Industrial | 250 | 620 | 475 | 475 | 425 | 375 | 350
2018-19,General,82,Sub-Stations,Nos.,1770.0,3502.0,,"Sub-Stations | Nos. | 1,770 | 3,502 | 6%"
2018-19,General,82,DTCs,Nos.,225818.0,599367.0,,"DTCs | Nos. | 2,25,818 | 5,99,367 | 8%"
2018-19,General,82,LT Lines,Ckt-kM,469898.0,663594.0,,"LT Lines | Ckt-kM | 4,69,898 | 6,63,594 | 3%"
2018-19,General,82,HT Lines,Ckt-kM,221319.0,370938.0,,"HT Lines | Ckt-kM | 2,21,319 | 3,70,938 | 4%"
2018-19,General,82,Sales (incl Franchisee),MU,43110.0,101311.0,,"Sales (incl Franchisee) | MU | 43,110 | 1,01,311 | 7%"
2018-19,General,82,No. of Ag Connections,Nos.,2366150.0,4178268.0,,"No. of Ag Connections | Nos. | 23,66,150 | 41,78,268 | 5%"
2018-19,General,155,Pench,,118.0,24.0,118.0,Pench | 118 | 24 | 118 | 24
2018-19,General,155,Dodson,,96.0,26.0,96.0,Dodson | 96 | 26 | 96 | 30 | 5
2018-19,General,155,JSW,,1805.0,515.0,1805.0,"JSW | 1,805 | 515 | 1,805 | 515 | 0 | 0"
2018-19,General,155,Mundra UMPP,,4717.0,1156.0,4717.0,"Mundra UMPP | 4,717 | 1,156 | 4,717 | 1,155 | 0"
2018-19,General,155,Adani Power,,19047.0,6025.0,19047.0,"Adani Power | 19,047 | 6,025 | 19,047 | 6,074 | 49"
2018-19,General,155,EMCO Power,,1504.0,488.0,1504.0,"EMCO Power | 1,504 | 488 | 1,504 | 489 | 1"
2018-19,General,155,Rattan India,,5630.0,2329.0,5630.0,"Rattan India | 5,630 | 2,329 | 5,630 | 2,404 | 0 | 75"
2018-19,General,155,Renewable Excluding CPP,,8544.0,4927.0,8642.0,"Renewable Excluding CPP | 8,544 | 4,927 | 8,642 | 5,325 | 98 | 398"
2018-19,General,155,CPP,,825.0,168.0,688.0,CPP | 825 | 168 | 688 | 136 | (137) | (32)
2018-19,General,155,PGCIL Charges,,1947.0,2133.0,186.0,"PGCIL Charges | 1,947 | 2,133 | 186"
2018-19,General,155,Traders and FBSM,,1019.0,350.0,344.0,"Traders and FBSM | 1,019 | 350 | (1,117) | 344 | (2,136) | (5)"
2018-19,General,155,Traders and FBSM,Total Power,116073.0,44034.0,114188.0,"Total Power | 116,073 | 44,034 | 114,188 | 43,626 | (1,885) | (409)"
2018-19,General,196,Receipts from Consumers,43,43.0,43.0,,Receipts from Consumers | 43 | 43 | 43
2018-19,General,196,Excess Provision for Power Purchased,39,39.0,39.0,,Excess Provision for Power Purchased | 39 | 39 | 39
2018-19,General,196,Other Excess Provision,167,167.0,167.0,,Other Excess Provision | 167 | 167 | 167
2018-19,General,196,Other Income,79,79.0,79.0,,Other Income | 79 | 79 | 79
2018-19,General,196,SUB TOTAL (A),438,327.0,327.0,,SUB TOTAL (A) | 438 | 327 | 327
2018-19,General,196,Adjustment to Past Billing,150,150.0,150.0,,Adjustment to Past Billing | 150 | 150 | 150
2018-19,General,196,SUB TOTAL (B),251,150.0,150.0,,SUB TOTAL (B) | 251 | 150 | 150
2018-19,General,196,Revenue from Sale of Power,"54,911",,50517.0,,"Revenue from Sale of Power | 54,911 | 50,517"
2018-19,General,198,Income from Open Access Charges,576,,678.0,,Income from Open Access Charges | 576 | 678
2018-19,General,204,Operation & Maintenance Expenses,"4,527",4760.0,4711.0,,"Operation & Maintenance Expenses | 4,527 | 4,760 | 4,711"
2018-19,General,204,Depreciation,"1,671",1688.0,1671.0,,"Depreciation | 1,671 | 1,688 | 1,671"
2018-19,General,204,Interest on Loan Capital,"1,541",1530.0,1531.0,,"Interest on Loan Capital | 1,541 | 1,530 | 1,531"
2018-19,General,204,Interest on Working Capital,191,202.0,198.0,,Interest on Working Capital | 191 | 202 | 198
2018-19,General,204,Interest on Deposits from Consumers and Distribution System Users,47,48.0,48.0,,Interest on Deposits from Consumers and Distribution System Users | 47 | 48 | 48
2018-19,General,204,Other Finance Charges,28,32.0,32.0,,Other Finance Charges | 28 | 32 | 32
2018-19,General,204,Provision for Bad and Doubtful Debts,26,40.0,40.0,,Provision for Bad and Doubtful Debts | 26 | 40 | 40
2018-19,General,204,Total Revenue Expenditure,"8,032",8301.0,8232.0,,"Total Revenue Expenditure | 8,032 | 8,301 | 8,232"
2018-19,General,205,Income from Open Access Charges,576,678.0,678.0,,Income from Open Access Charges | 576 | 678 | 678
2018-19,General,205,Aggregate Revenue Requirement from Distribution Wires,"8,803",9097.0,8967.0,,"Aggregate Revenue Requirement from Distribution Wires | 8,803 | 9,097 | 8,967"
2018-19,General,205,Power Purchase Expenses (incl. Inter-State Transmission Charges),"44,034",43626.0,43626.0,,"Power Purchase Expenses (incl. Inter-State Transmission Charges) | 44,034 | 43,626 | 43,626"
2018-19,General,205,Operation & Maintenance Expenses,"2,005",2082.0,2081.0,,"Operation & Maintenance Expenses | 2,005 | 2,082 | 2,081"
2018-19,General,205,Depreciation,186,188.0,186.0,,Depreciation | 186 | 188 | 186
2018-19,General,205,Interest on Loan Capital,171,170.0,170.0,,Interest on Loan Capital | 171 | 170 | 170
2018-19,General,205,Interest on Working Capital,30,494.0,0.0,,Interest on Working Capital | 30 | 494 | 0
2018-19,General,205,Interest on Deposits from Consumers and Distribution System Users,423,384.0,384.0,,Interest on Deposits from Consumers and Distribution System Users | 423 | 384 | 384
2018-19,General,205,Other Finance Charges,3,4.0,4.0,,Other Finance Charges | 3 | 4 | 4
2018-19,General,205,Provision for Bad and Doubtful Debts,232,364.0,364.0,,Provision for Bad and Doubtful Debts | 232 | 364 | 364
2018-19,General,205,Other Expenses,14,36.0,28.0,,Other Expenses | 14 | 36 | 28
2018-19,General,205,"Intra-State Transmission Charges, incl. MSLDC Fees & Charges","4,070",4070.0,4070.0,,"Intra-State Transmission Charges, incl. MSLDC Fees & Charges | 4,070 | 4,070 | 4,070"
2018-19,General,205,Incentives/Discounts,258,249.0,249.0,,Incentives/Discounts | 258 | 249 | 249
2018-19,General,205,DSM expenses,8,0.0,0.0,,DSM expenses | 8 | 0 | 0
2018-19,General,205,Total Revenue Expenditure,"51,436",51489.0,50984.0,,"Total Revenue Expenditure | 51,436 | 51,489 | 50,984"
2018-19,General,205,Return on Equity Capital,169,185.0,157.0,,Return on Equity Capital | 169 | 185 | 157
2018-19,General,205,Aggregate Revenue Requirement,"51,606",51674.0,51141.0,,"Aggregate Revenue Requirement | 51,606 | 51,674 | 51,141"
2018-19,General,205,RLC refund,5,5.0,5.0,,RLC refund | 5 | 5 | 5
2018-19,General,205,ASC refund,0,1.0,1.0,,ASC refund | 0 | 1 | 1
2018-19,General,205,Non-Tariff Income,"2,123",2882.0,2882.0,,"Non-Tariff Income | 2,123 | 2,882 | 2,882"
2018-19,General,205,Aggregate Revenue Requirement from Retail Supply,"49,488",48797.0,48265.0,,"Aggregate Revenue Requirement from Retail Supply | 49,488 | 48,797 | 48,265"
2018-19,General,206,Power Purchase Expenses,"44,034",43626.0,43626.0,,"Power Purchase Expenses | 44,034 | 43,626 | 43,626"
2018-19,General,206,Operation & Maintenance Expenses,"6,533",6842.0,6792.0,,"Operation & Maintenance Expenses | 6,533 | 6,842 | 6,792"
2018-19,General,206,Depreciation Expenses,"1,857",1876.0,1856.0,,"Depreciation Expenses | 1,857 | 1,876 | 1,856"
2018-19,General,206,Interest on Loan Capital,"1,712",1700.0,1701.0,,"Interest on Loan Capital | 1,712 | 1,700 | 1,701"
2018-19,General,206,Interest on Working Capital,221,695.0,198.0,,Interest on Working Capital | 221 | 695 | 198
2018-19,General,206,Interest on Deposits from Consumers and Distribution System Users,470,432.0,432.0,,Interest on Deposits from Consumers and Distribution System Users | 470 | 432 | 432
2018-19,General,206,Other Finance Charges,31,36.0,36.0,,Other Finance Charges | 31 | 36 | 36
2018-19,General,206,Provision for Bad and Doubtful Debts,258,405.0,405.0,,Provision for Bad and Doubtful Debts | 258 | 405 | 405
2018-19,General,206,Intra-State Transmission Charges and MSLDC Charges,"4,070",4070.0,4070.0,,"Intra-State Transmission Charges and MSLDC Charges | 4,070 | 4,070 | 4,070"
2018-19,General,206,Total Revenue Expenditure,"59,468",59790.0,59216.0,,"Total Revenue Expenditure | 59,468 | 59,790 | 59,216"
2018-19,General,206,Return on Equity Capital,"1,521",1661.0,1572.0,,"Return on Equity Capital | 1,521 | 1,661 | 1,572"
2018-19,General,206,Aggregate Revenue Requirement,"60,989",61450.0,60788.0,,"Aggregate Revenue Requirement | 60,989 | 61,450 | 60,788"
2018-19,General,206,Income from Wheeling Charges,4,1.0,1.0,,Income from Wheeling Charges | 4 | 1 | 1
2018-19,General,206,Aggregate Revenue Requirement from Retail Tariff,"56,004",57178.0,56665.0,,"Aggregate Revenue Requirement from Retail Tariff | 56,004 | 57,178 | 56,665"
2018-19,General,206,Revenue from Sale of Power,"54,911",50517.0,50517.0,,"Revenue from Sale of Power | 54,911 | 50,517 | 50,517"
2018-19,General,206,Income from Trading of Surplus Power,189,211.0,211.0,,Income from Trading of Surplus Power | 189 | 211 | 211
2018-19,General,206,Revenue Gap/(Surplus),(107),5439.0,4925.0,,"Revenue Gap/(Surplus) | (107) | 5,439 | 4,925"
2018-19,General,252,Income from Open Access Charges,599,,1034.0,,"Income from Open Access Charges | 599 | 1,034"
2018-19,General,252,Income from Open Access Charges,599,1034.0,1034.0,,"Income from Open Access Charges | 599 | 1,034 | 1,034"
2018-19,General,253,Revenue from Sale of Power,"59,284",,53956.0,,"Revenue from Sale of Power | 59,284 | 53,956"
2018-19,General,253,Revenue from Sale of Power,"59,284",53956.0,53956.0,,"Revenue from Sale of Power | 59,284 | 53,956 | 53,956"
2018-19,General,253,Income from Trading Surplus,,,384.0,,Income from Trading Surplus | 384
2018-19,General,262,Operation & Maintenance Expenses,"3,843",4389.0,4326.0,,"Operation & Maintenance Expenses | 3,843 | 4,389 | 4,326"
2018-19,General,262,Depreciation,"1,856",1839.0,1821.0,,"Depreciation | 1,856 | 1,839 | 1,821"
2018-19,General,262,Interest on Loan Capital,"1,743",1441.0,1429.0,,"Interest on Loan Capital | 1,743 | 1,441 | 1,429"
2018-19,General,262,Interest on Working Capital,124,129.0,125.0,,Interest on Working Capital | 124 | 129 | 125
2018-19,General,262,Interest on Deposits from Consumers and Distribution System Users,69,70.0,60.0,,Interest on Deposits from Consumers and Distribution System Users | 69 | 70 | 60
2018-19,General,262,Other Finance Charges,0,26.0,26.0,,Other Finance Charges | 0 | 26 | 26
2018-19,General,262,Provision for Bad and Doubtful Debts,26,49.0,49.0,,Provision for Bad and Doubtful Debts | 26 | 49 | 49
2018-19,General,262,Contribution to Contingency Reserves,97,0.0,0.0,,Contribution to Contingency Reserves | 97 | 0 | 0
2018-19,General,262,Total Revenue Expenditure,"7,758",7944.0,7837.0,,"Total Revenue Expenditure | 7,758 | 7,944 | 7,837"
2018-19,General,262,Return on Equity Capital,"1,423",1571.0,1500.0,,"Return on Equity Capital | 1,423 | 1,571 | 1,500"
2018-19,General,262,Aggregate Revenue Requirement,"9,181",9515.0,9336.0,,"Aggregate Revenue Requirement | 9,181 | 9,515 | 9,336"
2018-19,General,262,Income from Wheeling Charges,5,2.0,2.0,,Income from Wheeling Charges | 5 | 2 | 2
2018-19,General,262,Aggregate Revenue Requirement from Distribution Wires,"8,577",8478.0,8300.0,,"Aggregate Revenue Requirement from Distribution Wires | 8,577 | 8,478 | 8,300"
2018-19,General,262,Power Purchase Expenses (incl. Inter-State Transmission Charges),"43,754",43826.0,43826.0,,"Power Purchase Expenses (incl. Inter-State Transmission Charges) | 43,754 | 43,826 | 43,826"
2018-19,General,262,Operation & Maintenance Expenses,"2,069",2364.0,2329.0,,"Operation & Maintenance Expenses | 2,069 | 2,364 | 2,329"
2018-19,General,262,Depreciation,206,204.0,202.0,,Depreciation | 206 | 204 | 202
2018-19,General,262,Interest on Loan Capital,194,160.0,159.0,,Interest on Loan Capital | 194 | 160 | 159
2018-19,General,262,Interest on Working Capital,0,642.0,0.0,,Interest on Working Capital | 0 | 642 | 0
2018-19,General,262,Interest on Deposits from Consumers and Distribution System Users,619,534.0,543.0,,Interest on Deposits from Consumers and Distribution System Users | 619 | 534 | 543
2018-19,General,262,Other Finance Charges,0,3.0,3.0,,Other Finance Charges | 0 | 3 | 3
2018-19,General,262,Provision for Bad and Doubtful Debts,232,442.0,442.0,,Provision for Bad and Doubtful Debts | 232 | 442 | 442
2018-19,General,264,Aggregate Revenue Requirement from Retail Tariff,"59,169",60762.0,58955.0,,"Aggregate Revenue Requirement from Retail Tariff | 59,169 | 60,762 | 58,955"
2018-19,General,264,Income from Trading of Surplus Power,0,384.0,384.0,,Income from Trading of Surplus Power | 0 | 384 | 384
2018-19,General,264,Income from Additional Surcharge,284,116.0,116.0,,Income from Additional Surcharge | 284 | 116 | 116
2018-19,General,264,Past Period Adjustment by Commission,399,399.0,399.0,,Past Period Adjustment by Commission | 399 | 399 | 399
2018-19,General,264,Revenue Gap/(Surplus),,6704.0,4897.0,,"Revenue Gap/(Surplus) | 6,704 | 4,897"
2018-19,LT_Residential,265,Residential,,20840.0,18826.0,,"Residential | 20,840 | 18,826 | (2,014)"
2018-19,LT_Residential,265,Commercial,,7280.0,6923.0,,"Commercial | 7,280 | 6,923 | (357)"
2018-19,LT_Residential,265,HT-Industries,,24934.0,28110.0,3176.0,"HT-Industries | 24,934 | 28,110 | 3,176"
2018-19,LT_Residential,265,LT-Industries,,9149.0,6488.0,,"LT-Industries | 9,149 | 6,488 | (2,661)"
2018-19,LT_Residential,265,PWW,,2553.0,2237.0,,"PWW | 2,553 | 2,237 | (316)"
2018-19,LT_Residential,265,Street Light,,1965.0,1762.0,,"Street Light | 1,965 | 1,762 | (203)"
2018-19,LT_Residential,265,Agriculture,,25101.0,29659.0,4558.0,"Agriculture | 25,101 | 29,659 | 4,558"
2018-19,LT_Residential,265,Public Services,,1403.0,1384.0,,"Public Services | 1,403 | 1,384 | (19)"
2018-19,LT_Residential,265,Railways,,77.0,59.0,,Railways | 77 | 59 | (18)
2018-19,LT_Residential,265,Others,,1454.0,1426.0,,Others | 1454 | 1426 | (28)
2018-19,LT_Residential,265,Others,Total,94756.0,96873.0,2117.0,"Total | 94,756 | 96,873 | 2,117"
2018-19,LT_Agriculture,266,Un-Metered,15.11,,15.11,,Un-Metered | 15.11 | 15.11
2018-19,LT_Agriculture,266,Metered,25.95,,25.95,,Metered | 25.95 | 25.95
