FY,Section,Page,Category,Units,Fixed_Charge,Energy_Charge,Wheeling_Charge,Raw_Row
2009-10,General,118,Normative sales considering actual energy input,,,58201.0,,Normative sales considering actual energy input | MU | 58201
2009-10,General,118,Actual sales,,,58171.0,,Actual sales | MU | 58171
2009-10,General,118,Efficiency Loss to be borne by MSEDCL,,,7.96,,Efficiency Loss to be borne by MSEDCL | Rs. Crore | 7.96
2009-10,General,118,Efficiency Loss passed on to consumers,,,3.98,,Efficiency Loss passed on to consumers | Rs. Crore | 3.98
2009-10,General,118,1,,,28.48,,1 | Administration & General Expenses | 28.48
2009-10,General,118,2,,,46.85,,2 | Repair & Maintenance Expenses | 46.85
2009-10,General,118,3,,,23.89,,3 | Interest on Working Capital | 23.89
2009-10,General,118,Unknown,,,99.23,,Sub-total | 99.23
2009-10,General,118,4,,,3.98,,4 | Efficiency losses on account of distribution losses | 3.98
2009-10,General,120,Unknown,3,400.0,466.0,408.0,3 | 400 | 466 | 408
2009-10,General,120,Unknown,4,238.0,370.0,237.0,4 | Interest on Long-term Loan Capital | 238 | 370 | 237
2009-10,General,120,Unknown,5,258.0,243.0,195.0,5 | 258 | 243 | 195
2009-10,General,120,Unknown,6,312.0,352.0,342.0,6 | 312 | 352 | 342
2009-10,General,120,Unknown,7,5.0,14.0,9.0,7 | 5 | 14 | 9
2009-10,General,120,Unknown,8,0.0,0.0,0.0,8 | Income Tax | 0 | 0 | 0
2009-10,General,120,Unknown,9,1744.0,1739.0,1739.0,9 | 1744 | 1739 | 1739
2009-10,General,120,Unknown,10,27.0,27.0,27.0,10 | 27 | 27 | 27
2009-10,General,120,Unknown,11,0.0,44.0,0.0,11 | 0 | 44 | 0
2009-10,General,120,Unknown,12,77.0,148.0,148.0,12 | 77 | 148 | 148
2009-10,General,120,Unknown,13,0.0,24.0,0.0,13 | 0 | 24 | 0
2009-10,General,120,Unknown,14,,103.0,,14 | Sharing of Gains and Losses | 103
2009-10,General,120,Unknown,15,23772.0,24885.0,24440.0,15 | Total Revenue Expenditure | 23772 | 24885 | 24440
2009-10,General,120,Unknown,16,510.0,550.0,504.0,16 | Return on Equity Capital | 510 | 550 | 504
2009-10,General,120,Unknown,17,24281.0,25435.0,24943.0,17 | Aggregate Revenue Requirement | 24281 | 25435 | 24943
2009-10,General,120,Unknown,21,25.0,0.0,,21 | Add Net Prior Period Charges | 25 | 0
2009-10,General,120,Unknown,22,500.0,496.0,455.0,22 | RLC Refund | 500 | 496 | 455
2009-10,General,121,Unknown,23,12.0,0.0,12.0,23 | Pending Claims-FAC Interest | 12 | 0 | 12
2009-10,General,121,Unknown,24,,0.0,,24 | Truing up for FY 2001-02 | (469) | 0 | (469)
2009-10,General,121,Unknown,26,22940.0,24426.0,23197.0,26 | 22940 | 24426 | 23197
2009-10,General,121,Unknown,27,21959.0,22776.0,22776.0,27 | Revenue from Sale of Power | 21959 | 22776 | 22776
2009-10,General,121,Unknown,28,981.0,1650.0,421.0,28 | Revenue Gap | 981 | 1650 | 421
2009-10,General,134,KAWAS GAS,,1472.0,456.0,1472.0,KAWAS GAS | 1472 | 456 | 1472 | 456
2009-10,General,134,GANDHAR,,1490.0,474.0,1490.0,GANDHAR | 1490 | 474 | 1490 | 474
2009-10,General,134,FSTPP,,103.0,30.0,103.0,FSTPP | 103 | 30 | 103 | 30
2009-10,General,134,KhTPS-I,,35.0,11.0,35.0,KhTPS-I | 35 | 11 | 35 | 11
2009-10,General,134,KhTPS-II,,533.0,135.0,533.0,KhTPS-II | 533 | 135 | 533 | 135
2009-10,General,134,TSTPS,,57.0,12.0,57.0,TSTPS | 57 | 12 | 57 | 12
2009-10,General,134,Sipat TPS,,2324.0,406.0,2324.0,Sipat TPS | 2324 | 406 | 2324 | 406
2009-10,General,134,NTPC,,20404.0,3724.0,20404.0,NTPC | 20404 | 3724 | 20404 | 3724
2009-10,General,134,KAPP,,310.0,67.0,310.0,KAPP | 310 | 67 | 310 | 67
2009-10,General,134,TAPP 1&2,,1136.0,109.0,1136.0,TAPP 1&2 | 1136 | 109 | 1136 | 109
2009-10,General,134,TAPP 3&4,,1970.0,457.0,1970.0,TAPP 3&4 | 1970 | 457 | 1970 | 457
2009-10,General,134,NPCIL,,3416.0,633.0,3416.0,NPCIL | 3416 | 633 | 3416 | 633
2009-10,General,134,CGS Stations,,23820.0,4356.0,23820.0,CGS Stations | 23820 | 4356 | 23820 | 4356
2009-10,General,134,U.I. CHARGES,,549.0,6.0,549.0,U.I. CHARGES | 549 | 6 | 549 | 6
2009-10,General,134,SSP,,661.0,135.0,661.0,SSP | 661 | 135 | 661 | 135
2009-10,General,134,PENCH,,130.0,27.0,130.0,PENCH | 130 | 27 | 130 | 27
2009-10,General,134,Trading Company,,942.0,668.0,942.0,Trading Company | 942 | 668 | 942 | 668
2009-10,General,134,Other Sources from outside the State,,1732.0,830.0,1732.0,Other Sources from outside the State | 1732 | 830 | 1732 | 830
2009-10,General,134,Total PP from Outside State,,26101.0,5192.0,26101.0,Total PP from Outside State | 26101 | 5192 | 26101 | 5192
2009-10,General,134,Power Grid,,0.0,350.0,0.0,Power Grid | 0 | 350 | 0 | 350
2009-10,General,134,Reactive Charges,,0.0,-3.0,0.0,Reactive Charges | 0 | -3 | 0 | -3
2009-10,General,134,Banking,,-0.22,2.0,-0.22,Banking | -0.22 | 2 | -0.22 | 2
2009-10,General,134,Wheeling Charges,,0.0,2.0,0.0,Wheeling Charges | 0 | 2 | 0 | 2
2009-10,General,134,Total Power Purchase,,84077.0,21373.0,84077.0,Total Power Purchase | 84077 | 21373 | 84077 | 21373
2009-10,General,136,Unknown,,20.26,1.59,,Paras Unit 4 | 20.26 | 1.59
2009-10,General,136,Unknown,,18.41,1.84,,Parli Unit 7 | 18.41 | 1.84
2009-10,General,142,RGPPL,,11000.0,4687.62,11000.0,RGPPL | 11000 | 4687.62 | 11000 | 5155.07
2009-10,General,177,Non Tariff Income,,1031.0,1381.0,1381.0,Non Tariff Income | 1031 | 1381 | 1381 | 1450 | 1450
2009-10,General,185,Unknown,12,163.0,163.0,,12 | Incentives/Discounts | 163 | 163
2009-10,General,185,Unknown,15,34335.0,31128.0,,15 | Total Revenue Expenditure | 34335 | 31128
2009-10,General,185,Unknown,16,687.0,533.0,,16 | Return on Equity Capital | 687 | 533
2009-10,General,185,Unknown,17,35022.0,31660.0,,17 | Aggregate Revenue Requirement | 35022 | 31660
2009-10,General,185,Unknown,20,33572.0,30196.0,,20 | Aggregate Revenue Requirement from Retail Tariff | 33572 | 30196
2009-10,General,185,Unknown,21,29940.0,29993.0,,21 | Revenue from Sale of Power at Existing Tariff | 29940 | 29993
2009-10,General,185,Unknown,22,3632.0,203.0,,22 | Revenue Gap | 3632 | 203
2009-10,General,219,1,,34106.0,30901.0,,1 | Total Revenue Requirement (Rs. Crore) | 34106 | 30901
2009-10,General,219,2,,69963.0,70480.0,,2 | Total Sales (MU) | 69963 | 70480
2009-10,General,219,3,,4.87,4.38,,3 | Average Cost of Supply (Rs/kWh) | 4.87 | 4.38
2009-10,LT_Residential,220,LT I-Domestic,,4.38,3.61,4.12,LT I-Domestic | 4.38 | 3.61 | 4.12 | 14.03% | 3.67 | 1.74%
2009-10,LT_Residential,220,LT-II Non Domestic,,6.37,7.55,6.61,LT-II Non Domestic | 6.37 | 7.55 | 18.54% | 6.61 | 3.79%
