FY,Section,Page,Category,Units,Fixed_Charge,Energy_Charge,Wheeling_Charge,Raw_Row
2019-20,LT_Commercial,54,Energy Charges,"93,003",,103980.0,,"Energy Charges | 93,003 | 1,03,980"
2019-20,LT_Commercial,54,Total Charges (Rs.),"93,394",,107265.0,,"Total Charges (Rs.) | 93,394 | 1,07,265"
2019-20,LT_Residential,91,1,,,3447.0,,"1 | Previous Year Gaps FY 17-18 to FY 19-20 | 3,447"
2019-20,LT_Residential,91,2,,,5015.0,,"2 | Impact of Change in Law and Review Order | 5,015"
2019-20,LT_Residential,91,3,,,12382.0,,"3 | Regulatory Assets | 12,382"
2019-20,LT_Residential,91,4,,,7027.0,,"4 | Carrying Cost | 7,027"
2019-20,LT_Residential,91,5,,,32442.0,,"5 | Future Years Gap (FY 20-21 to FY 24-25) | 32,442"
2019-20,LT_Residential,91,6,,,60313.0,,"6 | Total | 60,313"
2019-20,General,167,Wind,6331.68,3198.77,6619.7,3539.75,Wind | 6331.68 | 3198.77 | 6619.7 | 3539.75
2019-20,General,167,SHP,229.07,95.73,315.6,134.68,SHP | 229.07 | 95.73 | 315.6 | 134.68
2019-20,General,167,Bagasse based Cogen.,3381.42,2104.96,4173.81,2638.19,Bagasse based Cogen. | 3381.42 | 2104.96 | 4173.81 | 2638.19
2019-20,General,167,Biomass,428.74,284.63,488.89,282.0,Biomass | 428.74 | 284.63 | 488.89 | 282
2019-20,General,167,MSW,0.18,0.09,0.89,0.47,MSW | 0.18 | 0.09 | 0.89 | 0.47
2019-20,General,167,Non-Solar RECs,2872,,482.53,,Non-Solar RECs | 2872 | 482.53
2019-20,General,170,MSPGCL Total,3.68,,45428.0,,"MSPGCL Total | 45,428 | 17,932 | 3.95 | 45,428 | 16,712 | 3.68 | 45,428 | 16,712 | 3.68"
2019-20,General,170,MSPGCL Total,4.23,,45698.0,,"MSPGCL Total | 43,753 | 18,506 | 4.23 | 45,698 | 19,133 | 4.19 | 45,698 | 19,133 | 4.19"
2019-20,General,171,NTPC Total,2.75,,30116.0,,"NTPC Total | 30,116 | 8,243 | 2.74 | 30,116 | 8,284 | 2.75 | 30,116 | 8,284 | 2.75"
2019-20,General,171,NTPC Total,"25,937",,29665.0,,"NTPC Total | 25,937 | 8,197 | 3.16 | 29,665 | 9,562 | 3.22 | 29,665 | 9,562 | 3.22"
2019-20,General,172,Sr. No.,JSW,1898.92,37.19,0.2,"1 | JSW | 1,898.92 | 37.19 | 0.20"
2019-20,General,172,Sr. No.,CGPL,4990.04,75.44,0.15,"2 | CGPL | 4,990.04 | 75.44 | 0.15"
2019-20,General,172,Sr. No.,Adani Power,17256.53,1037.65,0.6,"3 | Adani Power | 17,256.53 | 1037.65 | 0.60"
